Block,Trt,Percent
1,1,0.00
2,1,0.00
3,1,0.00
4,1,0.00
1,2,0.00
2,2,0.00
3,2,0.00
4,2,0.01
1,3,0.00
2,3,0.00
3,3,0.01
4,3,0.01
1,4,0.00
2,4,0.00
3,4,0.00
4,4,0.00
1,5,0.00
2,5,0.00
3,5,0.00
4,5,0.00
1,6,0.01
2,6,0.01
3,6,0.00
4,6,0.00
1,7,0.00
2,7,0.00
3,7,0.00
4,7,0.00
1,8,0.00
2,8,0.00
3,8,0.00
4,8,0.00
1,9,0.00
2,9,0.00
3,9,0.00
4,9,0.01
1,10,0.00
2,10,0.00
3,10,0.00
4,10,0.01
1,11,0.00
2,11,0.00
3,11,0.00
4,11,0.00
1,12,0.00
2,12,0.00
3,12,0.00
4,12,0.00
1,13,0.01
2,13,0.00
3,13,0.00
4,13,0.00
1,14,0.00
2,14,0.00
3,14,0.00
4,14,0.00
1,15,0.00
2,15,0.00
3,15,0.00
4,15,0.00
1,16,0.00
2,16,0.00
3,16,0.00
4,16,0.00
