Block,Trt,Nov,Dec,Jan,Feb,Mar,Apr
1,1,7,7,6,7,7,7
2,1,8,7,6,7,8,7
3,1,8,8,6,7,7,7
4,1,8,7,6,7,8,7
1,2,7,7,6,7,8,7
2,2,7,7,5.5,6,8,7
3,2,8,7,7,7,8,7
4,2,8,7,6,6,8,8
1,3,8,7,6,6.5,6.5,6
2,3,8,7,6,6,7,7
3,3,7,7,5.5,6,6.5,6
4,3,8,7,6,7,7,7
1,4,7,7,6,6,7,7
2,4,7,7,5.5,5.5,5.5,7
3,4,7,6,5.5,6,6,7
4,4,8,8,6,7,6,7
1,5,8,7,6,7,8,7
2,5,7,7,6,7,8,7
3,5,7,7,6,7,8,7
4,5,8,7,7,7,8,7
1,6,6,6,5.5,6,8,8
2,6,7,7,6,7,7,7
3,6,7,5.5,5.5,6,8,8
4,6,8,7,6,7,8,8
1,7,5.5,5.5,5.5,5.5,5.5,5
2,7,7,7,6,7,5.5,5.5
3,7,5.5,5,5,5,5.5,5.5
4,7,5.5,5.5,5,5,5.5,5.5
1,8,5.5,5.5,5.5,7,8,7
2,8,5,5,5,5.5,6,7
3,8,5.5,5,5,5,6,7
4,8,5.5,5.5,5.5,7,8,7
1,9,5.5,5.5,5.5,5.5,6,7
2,9,7,6,5.5,7,8,8
3,9,7,7,6,7,8,7
4,9,5.5,5.5,5.5,5,8,8
1,10,8,5.5,5,5,5.5,7
2,10,7,7,6,7,7,7
3,10,5.5,5.5,5,5.5,7,7
4,10,8,6,5.5,6,7,7
1,11,8,7,6,6,7,7
2,11,6,5.5,5,5.5,5.5,7
3,11,8,6,6,6,6,6
4,11,5.5,5.5,5,6,5.5,8
1,12,5.5,5.5,5,5,5.5,7
2,12,7,5.5,5.5,7,7,7
3,12,5.5,5,5,5,5.5,7
4,12,5.5,5.5,5,5,5.5,5.5
1,13,8,7,5.5,5.5,5.5,7
2,13,5.5,5,5,6,8,7
3,13,5,5,5,5,5.5,8
4,13,5.5,5.5,5,5.5,8,7
1,14,5.5,5.5,5,5,5,5.5
2,14,7,5.5,5.5,5.5,5.5,5.5
3,14,5,5,5,5,5,5.5
4,14,5,5,5,4,5,5.5
1,15,7,6.5,6.5,7,7,7
2,15,6,6,6,7,7,7
3,15,7,7,5.5,5.5,6,6
4,15,5.5,5.5,5.5,7,6,6
1,16,5,4.5,4,3,3,3
2,16,5,5,4,3,3,3
3,16,4,3,3,2,2,3
4,16,4,3,3,2,3,3
