Block,Group,Peak,AUDPC
1,1,0.0,108.75
2,1,0.0,0.00
3,1,0.0,0.00
4,1,0.0,19.25
1,2,0.0,0.00
2,2,0.0,0.00
3,2,0.0,38.50
4,2,0.0,0.00
1,3,0.0,0.00
2,3,0.0,0.00
3,3,0.0,0.00
4,3,0.0,0.00
1,4,0.0,0.00
2,4,0.0,0.00
3,4,0.0,0.00
4,4,0.0,0.00
1,5,0.0,123.00
2,5,0.0,81.00
3,5,0.0,7.75
4,5,0.0,0.00
1,6,0.0,0.00
2,6,0.0,0.00
3,6,0.0,0.00
4,6,0.0,0.00
1,7,0.5,57.25
2,7,1.0,37.50
3,7,0.0,0.00
4,7,2.5,78.00
1,8,1.5,287.50
2,8,0.5,169.75
3,8,8.0,623.25
4,8,0.0,0.00
1,9,1.0,183.50
2,9,0.5,18.75
3,9,4.5,472.75
4,9,3.0,100.75
1,10,0.5,53.50
2,10,0.0,0.00
3,10,0.0,0.00
4,10,1.5,201.75
1,11,0.0,0.00
2,11,0.5,111.25
3,11,14.0,734.25
4,11,0.0,0.00
1,12,0.0,0.00
2,12,0.5,19.00
3,12,0.0,0.00
4,12,0.0,0.00
1,13,0.0,50.25
2,13,0.0,0.00
3,13,0.0,0.00
4,13,0.0,0.00
1,14,10.0,555.00
2,14,3.0,150.25
3,14,6.0,583.75
4,14,6.0,282.75
1,15,0.5,57.50
2,15,0.0,0.00
3,15,0.0,0.00
4,15,0.0,0.00
1,16,76.0,2748.75
2,16,52.5,1237.75
3,16,66.0,3041.50
4,16,64.0,1710.00
